LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,DEFAULT_PAYMENT_NEXT_MONTH,util_max,payment_profile,bust_out_score,alert_type_1,alert_score_1,rule_1_triggered,alert_type_2,alert_score_2,rule_2_triggered,alert_type_3,alert_score_3,rule_3_triggered,total_alerts
20000,2,2,1,24,1,0.19565,Deteriorati,1,,,0,,,0,,,0,0
120000,2,2,2,26,1,0.0287916667,Volatile,2,,,0,Structuring Alert,6,1,,,0,1
90000,2,2,2,34,0,0.3248777778,Always Duly,2,,,0,,,0,,,0,0
50000,2,2,1,37,0,0.98582,Always Duly,1,,,0,,,0,,,0,0
50000,1,2,1,57,0,0.7167,Always Duly,2,,,0,,,0,,,0,0
50000,1,1,2,37,0,1.288,Always Duly,1,,,0,,,0,,,0,0
500000,1,1,2,29,0,1.085306,Always Duly,1,,,0,,,0,,,0,0
100000,2,2,2,23,0,0.11876,Always Duly,2,,,0,,,0,,,0,0
140000,2,3,1,28,0,0.1006857143,Volatile,0,,,0,,,0,,,0,0
20000,1,3,2,35,0,0.6956,Always Duly,0,,,0,,,0,,,0,0
200000,2,3,2,34,0,0.055365,Volatile,0,,,0,,,0,,,0,0
260000,2,1,2,51,0,0.0857192308,Volatile,0,,,0,,,0,,,0,0
630000,2,2,2,41,0,0.0192650794,Always Duly,2,,,0,,,0,,,0,0
70000,1,2,2,30,1,0.9624142857,Volatile,2,,,0,,,0,,,0,0
250000,1,1,2,29,0,0.283548,Always Duly,0,,,0,,,0,,,0,0
50000,2,3,3,23,0,1.01228,Volatile,4,,,0,,,0,,,0,0
20000,1,1,2,24,1,0.9552,Volatile,1,,,0,,,0,,,0,0
320000,1,1,1,49,0,0.79151875,Always Duly,0,,,0,,,0,,,0,0
360000,2,1,1,49,0,0,Deteriorati,1,,,0,,,0,,,0,0
180000,2,1,2,29,0,0,Deteriorati,1,,,0,,,0,,,0,0
130000,2,3,2,39,0,0.2950615385,Always Duly,0,,,0,,,0,,,0,0
120000,2,2,1,39,1,0.0052666667,Always Duly,0,,,0,,,0,,,0,0
70000,2,2,2,26,1,0.6700714286,Volatile,1,,,0,,,0,,,0,0
450000,2,1,1,40,1,0.0431555556,Always Duly,0,,,0,,,0,,,0,0
90000,1,1,2,23,0,0.0921333333,Always Duly,0,,,0,,,0,,,0,0
50000,1,3,2,23,0,0.9524,Always Duly,1,,,0,,,0,,,0,0
60000,1,1,2,27,1,0.0043166667,Volatile,1,,,0,,,0,,,0,0
50000,2,3,2,30,0,0.45082,Always Duly,0,,,0,,,0,,,0,0
50000,2,3,1,47,0,0.6086,Always Duly,0,,,0,,,0,,,0,0
50000,1,1,2,26,0,0.3675,Always Duly,0,,,0,,,0,,,0,0
230000,2,1,2,27,0,0.1605347826,Always Duly,0,,,0,,,0,,,0,0
50000,1,2,2,33,1,0.61036,Deteriorati,1,,,0,,,0,,,0,0
100000,1,1,2,32,0,0.93036,Always Duly,1,,,0,,,0,,,0,0
500000,2,2,1,54,0,0.142878,Always Duly,2,,,0,,,0,,,0,0
500000,1,1,1,58,0,0.06226,Always Duly,2,,,0,,,0,,,0,0
160000,1,1,2,30,0,0.18915625,Always Duly,0,,,0,,,0,,,0,0
280000,1,2,1,40,0,0.6660821429,Always Duly,0,,,0,,,0,,,0,0
60000,2,2,2,22,0,0.311,Always Duly,2,,,0,,,0,,,0,0
50000,1,1,2,25,1,0.0156,Deteriorati,1,,,0,,,0,,,0,0
280000,1,1,2,31,0,0.0642,Volatile,0,,,0,,,0,,,0,0
360000,1,1,2,33,0,1.7463861111,Always Duly,1,,,0,,,0,,,0,0
70000,2,1,2,25,0,0.9645857143,Always Duly,1,,,0,,,0,,,0,0
10000,1,2,2,22,0,0.6003,Always Duly,0,,,0,,,0,,,0,0
140000,2,2,1,37,0,0.4985857143,Always Duly,0,,,0,,,0,,,0,0
40000,2,1,2,30,0,0.729925,Volatile,0,,,0,,,0,,,0,0
210000,1,1,2,29,1,0,Always Duly,0,,,0,,,0,,,0,0
20000,2,1,2,22,1,0.83375,Volatile,0,,,0,,,0,,,0,0
150000,2,5,2,46,1,0.0297533333,Always Duly,0,,,0,,,0,,,0,0
380000,1,2,2,32,0,0.0842578947,Always Duly,0,,,0,,,0,,,0,0
20000,1,1,2,24,0,1.024,Always Duly,1,,,0,,,0,,,0,0
70000,1,3,2,42,1,0.5631857143,Volatile,1,,,0,,,0,,,0,0
100000,2,3,3,43,0,0.61559,Always Duly,0,,,0,,,0,,,0,0
310000,2,2,1,49,0,0.0434354839,Always Duly,2,,,0,,,0,,,0,0
180000,2,1,2,25,0,0.2517722222,Volatile,1,,,0,,,0,,,0,0
150000,2,1,2,29,0,0.30816,Deteriorati,1,,,0,,,0,,,0,0
500000,2,1,1,45,0,0.00728,Always Duly,0,,,0,,,0,,,0,0
180000,2,3,1,34,0,0.0910333333,Always Duly,0,,,0,,,0,,,0,0
180000,2,2,1,34,0,0.9771444444,Always Duly,1,,,0,,,0,,,0,0
200000,2,1,2,34,0,0.007935,Volatile,0,,,0,Structuring Alert,5,1,,,0,1
400000,2,2,1,29,0,1.0105125,Always Duly,1,,,0,,,0,,,0,0
500000,2,3,1,28,1,0.047276,Always Duly,0,,,0,,,0,,,0,0
70000,1,2,1,39,0,1.0294285714,Always Duly,1,,,0,,,0,,,0,0
50000,1,1,2,29,1,0.56528,Always Dela,1,,,0,,,0,,,0,0
50000,2,2,1,46,1,0.58332,Always Duly,0,,,0,,,0,,,0,0
130000,2,2,1,51,0,0.0181,Always Duly,0,,,0,,,0,,,0,0
200000,1,1,1,57,1,0.762595,Volatile,0,,,0,Structuring Alert,5,1,,,0,1
10000,1,2,1,56,1,0.4326,Deteriorati,1,,,0,,,0,,,0,0
210000,2,1,2,30,0,0.0202380952,Deteriorati,1,,,0,,,0,,,0,0
130000,2,3,2,29,0,0.0793153846,Volatile,1,,,0,Structuring Alert,3,1,,,0,1
20000,1,5,2,22,0,0.92825,Deteriorati,2,,,0,,,0,,,0,0
80000,1,1,2,31,0,0.00975,Always Duly,0,,,0,,,0,,,0,0
320000,1,2,2,29,1,0.19851875,Always Dela,1,,,0,,,0,,,0,0
200000,2,2,1,32,0,0.04538,Volatile,2,,,0,,,0,,,0,0
290000,2,1,2,37,0,0.0108793103,Volatile,1,,,0,,,0,,,0,0
340000,1,1,2,32,0,0.2357441176,Always Duly,0,,,0,,,0,,,0,0
20000,1,2,2,24,0,0.92715,Volatile,1,,,0,,,0,,,0,0
50000,1,3,2,25,0,0.85676,Always Duly,0,,,0,,,0,,,0,0
300000,2,1,1,45,0,0.00097,Always Duly,0,,,0,,,0,,,0,0
30000,2,2,2,22,1,1.0108666667,Always Duly,1,,,0,,,0,,,0,0
240000,2,2,2,44,1,0,Deteriorati,1,,,0,,,0,,,0,0
470000,2,3,3,33,0,0.3516042553,Always Duly,0,,,0,,,0,,,0,0
360000,2,1,2,26,0,0.5,Always Duly,0,,,0,,,0,,,0,0
60000,1,3,2,30,1,0.4684666667,Always Duly,0,,,0,,,0,,,0,0
400000,2,2,1,44,0,0.34765,Volatile,0,,,0,,,0,,,0,0
50000,2,3,2,49,0,0.97818,Always Duly,1,,,0,,,0,,,0,0
160000,1,2,2,33,0,0.812675,Always Duly,0,,,0,,,0,,,0,0
360000,2,1,1,45,1,0.00325,Volatile,0,,,0,,,0,,,0,0
160000,2,2,2,32,0,0.053775,Always Duly,0,,,0,,,0,,,0,0
130000,2,1,1,35,0,0.9066615385,Always Duly,1,,,0,,,0,,,0,0
20000,1,3,2,44,0,0.6157,Volatile,1,,,0,,,0,,,0,0
200000,1,1,1,53,1,0.747655,Always Dela,1,,,0,,,0,,,0,0
280000,2,1,2,39,0,0.0268714286,Always Duly,0,,,0,,,0,,,0,0
100000,2,1,2,27,0,0.05555,Always Duly,0,,,0,,,0,,,0,0
160000,2,2,1,37,0,0.0100125,Always Duly,0,,,0,,,0,,,0,0
60000,2,2,2,23,0,0.7869,Always Duly,0,,,0,,,0,,,0,0
90000,1,2,2,35,0,0.9739222222,Always Duly,1,,,0,,,0,,,0,0
360000,1,1,1,43,0,0.07325,Always Duly,0,,,0,,,0,,,0,0
150000,1,1,2,27,0,0.5985,Always Duly,0,,,0,,,0,,,0,0
50000,2,3,1,22,0,0.37444,Always Duly,0,,,0,,,0,,,0,0
20000,1,2,1,38,1,0.97795,Always Duly,1,,,0,,,0,,,0,0
140000,1,1,2,32,0,0.0729428571,Always Duly,0,,,0,,,0,,,0,0
380000,2,1,2,30,0,0.0896210526,Always Duly,0,,,0,,,0,,,0,0
480000,1,1,1,63,0,1.0147208333,Volatile,1,,,0,Structuring Alert,3,1,,,0,1
50000,2,3,2,22,1,0.89396,Always Duly,0,,,0,,,0,,,0,0
60000,2,2,2,26,0,1.0036333333,Deteriorati,2,,,0,,,0,,,0,0
70000,2,2,2,24,0,0.3789857143,Always Duly,0,,,0,,,0,,,0,0
80000,2,2,1,36,0,0.07635,Always Duly,2,,,0,,,0,,,0,0
350000,1,1,2,52,0,0.0150371429,Always Duly,0,,,0,,,0,,,0,0
130000,1,2,2,38,0,1.3721692308,Always Duly,1,,,0,,,0,,,0,0
360000,1,2,1,35,0,-0.000286111,Deteriorati,1,,,0,,,0,,,0,0
330000,2,1,1,31,0,0.3285787879,Volatile,0,,,0,,,0,,,0,0
50000,1,3,1,47,0,0.34786,Volatile,0,,,0,,,0,,,0,0
280000,1,2,1,41,0,0.5434785714,Always Dela,1,,,0,Structuring Alert,3,1,,,0,1
100000,2,1,2,24,0,0.601,Always Duly,0,,,0,,,0,,,0,0
50000,1,2,2,41,0,0.40622,Always Duly,0,,,0,,,0,,,0,0
30000,1,1,2,24,1,0.7106333333,Volatile,0,,,0,,,0,,,0,0
240000,1,1,2,28,0,0.02365,Always Duly,0,,,0,,,0,,,0,0
80000,1,2,2,26,1,0.227325,Deteriorati,1,,,0,,,0,,,0,0
400000,1,2,1,34,0,0.04915,Always Duly,2,,,0,,,0,,,0,0
240000,2,2,2,38,0,0.2208958333,Always Duly,0,,,0,,,0,,,0,0
50000,1,3,2,37,1,1.02286,Always Dela,2,,,0,,,0,,,0,0
450000,1,1,1,40,1,0,Deteriorati,1,,,0,,,0,,,0,0
110000,2,1,1,48,0,0,Deteriorati,1,,,0,,,0,,,0,0
310000,2,2,1,35,1,1.0040096774,Deteriorati,2,,,0,,,0,,,0,0
20000,1,1,2,27,0,0.98585,Always Duly,1,,,0,,,0,,,0,0
20000,1,2,2,23,0,0,Deteriorati,1,,,0,,,0,,,0,0
200000,1,3,2,52,0,0.550755,Always Duly,0,,,0,,,0,,,0,0
180000,1,1,1,36,1,0.9096444444,Always Duly,1,,,0,,,0,,,0,0
50000,1,2,1,51,1,0.14154,Always Duly,0,,,0,,,0,,,0,0
60000,1,3,1,55,0,1.0241666667,Deteriorati,2,,,0,,,0,,,0,0
30000,2,1,2,23,0,0.4581333333,Volatile,1,,,0,,,0,,,0,0
240000,1,1,2,41,0,0.0137541667,Volatile,1,,,0,,,0,,,0,0
420000,1,2,1,34,0,0.6034619048,Always Duly,0,,,0,,,0,,,0,0
330000,1,3,1,46,0,0.6958909091,Always Duly,0,,,0,,,0,,,0,0
30000,2,2,2,22,0,0.9484,Always Duly,1,,,0,,,0,,,0,0
240000,1,2,1,34,0,0.0589916667,Volatile,0,,,0,Structuring Alert,3,1,,,0,1
150000,1,1,2,27,0,0.2015266667,Always Duly,0,,,0,,,0,,,0,0
210000,2,2,1,33,0,0.0437571429,Always Duly,0,,,0,,,0,,,0,0
50000,2,3,1,51,1,0.1176,Always Duly,2,,,0,,,0,,,0,0
50000,1,1,2,24,0,1.01602,Always Duly,1,,,0,,,0,,,0,0
240000,1,1,2,47,1,0,Deteriorati,1,,,0,,,0,,,0,0
180000,1,2,2,28,0,0.0101777778,Always Duly,0,,,0,,,0,,,0,0
50000,1,2,2,23,0,0.41166,Volatile,1,,,0,,,0,,,0,0
170000,1,2,2,29,0,0.0932117647,Always Duly,0,,,0,,,0,,,0,0
20000,1,1,2,29,0,0.7793,Always Duly,0,,,0,,,0,,,0,0
50000,1,1,2,28,0,0.21248,Volatile,0,,,0,,,0,,,0,0
170000,2,2,2,27,1,0.1226588235,Always Duly,0,,,0,,,0,,,0,0
200000,1,1,2,34,0,0.98618,Volatile,2,,,0,Structuring Alert,4,1,,,0,1
80000,2,2,1,23,0,0.150425,Volatile,1,,,0,,,0,,,0,0
260000,2,1,1,60,0,0.0823076923,Volatile,1,,,0,,,0,,,0,0
140000,1,2,1,32,0,0.6187642857,Volatile,0,,,0,,,0,,,0,0
80000,1,1,2,25,0,0.6968,Always Duly,0,,,0,,,0,,,0,0
350000,1,1,2,41,0,0.0083028571,Deteriorati,1,,,0,,,0,,,0,0
280000,2,2,1,56,0,0.745625,Always Duly,0,,,0,,,0,,,0,0
30000,2,3,2,26,0,0.4735333333,Always Duly,0,,,0,,,0,,,0,0
140000,1,1,1,34,0,0.34785,Always Duly,0,,,0,,,0,,,0,0
